County,State,Value
Northumberland,VA,419.1
Ketchikan Gateway,AK,419.2
Dawson,GA,419.3
Fayette,IA,419.3
Guthrie,IA,419.4
Johnson,IL,419.4
Klamath,OR,419.4
Powder River,MT,419.5
Wasco,OR,419.6
Pocahontas,WV,419.6
Sheboygan,WI,419.6
Guadalupe,TX,419.7
Garden,NE,419.7
Brevard,FL,419.8
Rusk,WI,419.8
Shawano,WI,420.1
Ellis,KS,420.1
Jefferson,KY,420.2
Quay,NM,420.2
Johnson,WY,420.2
Sherman,OR,420.5
Van Wert,OH,420.5
Essex,VA,420.6
Buckingham,VA,420.7
Greene,GA,420.7
Kossuth,IA,420.8
Alger,MI,420.8
Uinta,WY,420.8
Manitowoc,WI,421
Torrance,NM,421
Fayette,IL,421
Adams,IL,421.1
Oneida,WI,421.1
Charles City,VA,421.1
Mathews,VA,421.1
Uvalde,TX,421.2
Kinney,TX,421.3
Walworth,SD,421.3
Natrona,WY,421.3
Shawnee,KS,421.3
Lake,CO,421.4
Bayfield,WI,421.5
Hickman,TN,421.8
Hardin,KY,421.8
Medina,OH,421.9
Nodaway,MO,421.9
York,NE,422.2
Burlington,NJ,422.3
Brown,IL,422.4
Queens,NY,422.7
Androscoggin,ME,422.7
Orange,VT,422.7
Middlesex,VA,422.8
Harris,TX,423
Iredell,NC,423
Williams,ND,423.1
Edwards,KS,423.1
Concho,TX,423.1
McCook,SD,423.1
Scotts Bluff,NE,423.4
Thurston,NE,423.5
Lorain,OH,423.5
Coos,OR,423.5
Chesapeake,VA,423.5
Racine,WI,423.6
Bath,VA,423.6
Barry,MI,423.6
Craven,NC,423.7
Frederick,MD,423.8
Aroostook,ME,424.1
Victoria,TX,424.2
Tuolumne,CA,424.3
Plumas,CA,424.3
Muscatine,IA,424.4
Piute,UT,424.6
Sheridan,KS,424.7
Foster,ND,424.8
Wilkin,MN,424.9
Caribou,ID,425
Gasconade,MO,425.1
Dutchess,NY,425.1
Richardson,NE,425.1
Turner,SD,425.1
Essex,NJ,425.2
Cleveland,OK,425.2
Hancock,IA,425.2
Tipton,IN,425.3
Carroll,IN,425.3
Sheridan,NE,425.4
Bell,TX,425.4
Delta,MI,425.5
Bennett,SD,425.7
Marquette,WI,425.7
Fremont,WY,425.7
Warren,MO,425.9
Pottawattamie,IA,426.3
Riverside,CA,426.3
Clinton,MI,426.4
Amherst,VA,426.5
Muskegon,MI,426.6
Mahaska,IA,426.6
Nez Perce,ID,426.7
Hamilton,KS,426.7
Kent,MI,426.8
Clarke,IA,427
Hancock,OH,427.4
Adams,IN,427.5
Norton,KS,427.6
Garrard,KY,427.6
Deaf Smith,TX,427.7
Irion,TX,427.8
Yakima,WA,427.9
Jerome,ID,428
Broome,NY,428
Emmet,MI,428
Furnas,NE,428
Pittsylvania,VA,428.1
Hardy,WV,428.3
Otero,NM,428.5
Wilson,NC,428.5
Newaygo,MI,428.6
Santa Rosa,FL,428.6
Washington,PA,428.6
Charlevoix,MI,428.8
Cumberland,PA,428.9
Schuyler,NY,429
Pender,NC,429
Iron,UT,429
Carroll,VA,429.2
Box Butte,NE,429.2
Coffey,KS,429.3
Jackson,IL,429.3
Montgomery,NC,429.6
La Paz,AZ,429.7
Cerro Gordo,IA,429.8
Maverick,TX,429.8
Tarrant,TX,429.9
Lebanon,PA,429.9
Jefferson,OR,429.9
Carbon,WY,430.1
Yadkin,NC,430.3
Paulding,GA,430.3
Warren,NJ,430.4
Holt,MO,430.4
Scurry,TX,430.4
Huntingdon,PA,430.5
Divide,ND,430.5
Nelson,ND,430.6
Cheboygan,MI,430.6
Callaway,MO,430.7
Pawnee,KS,430.7
Montgomery,TX,430.7
Rush,KS,430.8
Vanderburgh,IN,430.8
Harris,GA,430.9
Sacramento,CA,430.9
Gates,NC,431
Graham,NC,431.1
Red Willow,NE,431.2
Ralls,MO,431.2
Fillmore,NE,431.6
Eaton,MI,431.6
Mahnomen,MN,431.8
Avery,NC,431.8
Nassau,FL,431.8
Marshall,IA,431.8
Aiken,SC,431.8
Glynn,GA,431.9
Ford,KS,432.1
Pike,IL,432.1
Tioga,NY,432.1
Kennebec,ME,432.3
Adair,IA,432.3
Nueces,TX,432.3
Nelson,KY,432.6
Culberson,TX,432.7
Douglas,SD,432.8
Sierra,CA,433
Jefferson,NE,433.1
Calvert,MD,433.3
Erie,OH,433.3
Fairfield,OH,433.4
Barrow,GA,433.4
Grant,NE,433.5
Midland,TX,433.5
Grays Harbor,WA,433.5
Menard,TX,433.7
Sanborn,SD,433.9
Cameron,PA,434
Calaveras,CA,434
Sitka,AK,434.1
Suffolk,NY,434.2
Mackinac,MI,434.2
Lycoming,PA,434.2
Coke,TX,434.3
York,SC,434.4
Defiance,OH,434.4
Osceola,FL,434.4
Jones,GA,434.4
Decatur,KS,434.4
Paulding,OH,434.5
Nassau,NY,434.6
Ohio,IN,434.6
Charlottesville,VA,434.7
Wahkiakum,WA,434.7
Marquette,MI,434.8
Canyon,ID,434.9
Hendry,FL,435
Kiowa,KS,435
Oswego,NY,435
Parker,TX,435
St. Louis,MO,435.1
Lafourche,LA,435.2
Butler,OH,435.2
Will,IL,435.2
Botetourt,VA,435.2
Kosciusko,IN,435.3
Curry,OR,435.5
Harrison,IN,435.6
Luce,MI,435.7
Whitley,IN,435.9
West Feliciana,LA,436.3
Sawyer,WI,436.3
Iron,WI,436.5
Socorro,NM,436.5
Coos,NH,436.6
Walsh,ND,436.6
Chase,KS,436.7
Potter,PA,436.7
Hood,TX,436.8
Piscataquis,ME,436.8
Linn,OR,436.9
Orange,NY,437
Allegany,NY,437.1
Stark,OH,437.1
Ringgold,IA,437.1
Effingham,IL,437.1
Logan,IL,437.2
Big Horn,WY,437.2
Nelson,VA,437.3
Marshall,IN,437.3
Allen,IN,437.4
Crockett,TX,437.4
Union,IL,437.6
Henry,KY,437.6
Morrill,NE,437.6
Surry,NC,437.7
Sedgwick,KS,437.7
Trego,KS,437.7
Jackson,IN,437.7
Anderson,SC,437.9
Bailey,TX,438.1
Sumner,KS,438.1
Ulster,NY,438.1
Wayne,OH,438.2
Adams,NE,438.2
Keokuk,IA,438.2
Polk,FL,438.2
Goliad,TX,438.2
Hocking,OH,438.4
Ashland,WI,438.5
Perry,IL,438.7
Jefferson,KS,438.7
DeKalb,IN,438.8
Catawba,NC,438.9
Gonzales,TX,438.9
Edgefield,SC,439
Presque Isle,MI,439
Clay,FL,439.2
Whitfield,GA,439.2
Campbell,KY,439.4
Shelby,KY,439.4
Weber,UT,439.4
Vilas,WI,439.4
Clermont,OH,439.5
Walton,FL,439.6
Baker,FL,439.7
Sheridan,WY,439.7
Kent,TX,439.7
Monona,IA,439.8
Harlan,NE,439.8
Lafayette,FL,440
Storey,NV,440.1
Noble,IN,440.2
Morris,KS,440.3
Dickinson,KS,440.3
Waller,TX,440.3
Susquehanna,PA,440.9
Charles Mix,SD,440.9
Prince George's,MD,440.9
Boyle,KY,441
Lumpkin,GA,441
Barton,KS,441.1
Greenwood,SC,441.1
Wilson,TX,441.2
Cass,IN,441.2
Oconee,SC,441.4
Newport News,VA,441.6
LaSalle,LA,441.6
Delaware,PA,441.6
Elk,PA,441.6
Madera,CA,441.8
Rooks,KS,441.9
Buena Vista,VA,442
Dinwiddie,VA,442
Lee,NC,442.1
Williams,OH,442.2
Greene,NY,442.3
Jersey,IL,442.3
Galveston,TX,442.3
Franklin,NC,442.4
Henderson,IL,442.5
Baltimore,MD,442.6
Sumner,TN,442.7
Bastrop,TX,442.9
Posey,IN,442.9
Rice,KS,442.9
Franklin,ME,443
Chouteau,MT,443
Butler,KS,443.1
Greenwood,KS,443.1
Lavaca,TX,443.1
Wells,IN,443.2
De Witt,IL,443.2
Mitchell,NC,443.2
Sussex,DE,443.3
Westmoreland,PA,443.4
Steuben,IN,443.5
Washington,VA,443.6
Pamlico,NC,443.7
Wright,IA,443.9
Benewah,ID,444
Bradford,PA,444.1
Bexar,TX,444.1
Wilson,TN,444.1
Knox,TN,444.1
Washington,OH,444.2
Gentry,MO,444.5
Jefferson,LA,444.6
Lander,NV,444.8
Clinton,PA,444.9
Clearwater,MN,444.9
Charles,MD,445.1
Cook,IL,445.1
Indiana,PA,445.1
Sangamon,IL,445.2
Franklin,IN,445.2
Daviess,KY,445.2
Kenton,KY,445.2
Cole,MO,445.2
Hockley,TX,445.3
Menominee,WI,445.3
Kent,DE,445.5
Mason,IL,445.7
Payette,ID,445.9
Washington,KY,445.9
Schoharie,NY,445.9
Jackson,KS,446
Spencer,KY,446.1
Pitt,NC,446.1
Union,OH,446.2
Deer Lodge,MT,446.2
Mariposa,CA,446.2
Osage,MO,446.4
Butte,CA,446.5
Chowan,NC,446.6
Currituck,NC,446.8
Hoke,NC,446.8
Saginaw,MI,446.8
Woodford,KY,446.9
Jefferson,IA,446.9
Pierce,ND,447.1
Whiteside,IL,447.2
Pratt,KS,447.3
Fannin,GA,447.4
Dearborn,IN,447.6
Tioga,PA,447.7
Box Elder,UT,448
Dorchester,SC,448.1
Emmons,ND,448.1
Sullivan,NY,448.2
Otsego,NY,448.2
Calhoun,IA,448.2
Fremont,ID,448.3
Mason,MI,448.3
Jefferson,WV,448.3
Graham,KS,448.5
Menominee,MI,448.6
Butler,PA,448.6
Erie,PA,448.7
Andrew,MO,448.7
Floyd,IA,448.7
Oconto,WI,448.8
Somervell,TX,448.8
Lewis,WA,448.9
Runnels,TX,449
Winnebago,IL,449
Otsego,MI,449
Onslow,NC,449
Loup,NE,449.1
Kings,NY,449.2
Inyo,CA,449.2
Gloucester,NJ,449.5
Franklin,KY,449.6
Jefferson,IL,449.7
Madison,KY,449.8
Phillips,KS,450.4
Franklin,NE,450.4
Lipscomb,TX,450.6
Nuckolls,NE,450.7
Republic,KS,450.8
Macon,IL,450.9
Calhoun,SC,450.9
Leon,TX,451
Saline,AR,451
Mercer,KY,451.1
Lake,OH,451.1
Oakland,MI,451.2
Columbia,NY,451.3
Banks,GA,451.3
Chippewa,MI,451.4
Tehama,CA,451.5
Delaware,NY,451.6
Armstrong,PA,451.7
Union,IN,451.7
Dallas,TX,451.7
Austin,TX,451.8
McKenzie,ND,451.8
Crawford,MI,452
Juneau,WI,452.1
Richland,SC,452.2
Licking,OH,452.3
Jewell,KS,452.3
Henry,GA,452.4
Camden,NJ,452.6
Glasscock,TX,452.6
Upton,TX,452.6
Christian,IL,452.7
Rankin,MS,452.8
DeKalb,MO,452.9
Elkhart,IN,452.9
Abbeville,SC,453
Forest,WI,453
Glenn,CA,453.1
Marion,KY,453.2
Ingham,MI,453.2
Greenbrier,WV,453.2
Parmer,TX,453.2
Franklin,NY,453.3
Malheur,OR,453.3
Carroll,MD,453.4
Sanders,MT,453.5
McLennan,TX,453.5
Livingston,MI,453.6
Clarion,PA,453.6
Huron,OH,453.7
Monroe,GA,453.7
Webster,NE,453.9
Perry,PA,454
Todd,SD,454
Putnam,WV,454
Campbell,VA,454
Allegheny,PA,454.2
Valley,MT,454.2
Schenectady,NY,454.3
Schley,GA,454.4
Des Moines,IA,454.5
Miner,SD,454.6
Brazoria,TX,454.7
Castro,TX,454.8
Dubois,IN,454.8
McDowell,NC,454.8
Thayer,NE,454.8
St. Charles,LA,454.9
Wharton,TX,455.2
Jackson,IA,455.3
Pocahontas,IA,455.3
Howard,IA,455.4
Madison,OH,455.4
Harper,KS,455.5
Coweta,GA,455.5
Holt,NE,455.7
Missaukee,MI,455.9
Morton,KS,456
Greene,IA,456.1
Washington,ID,456.1
Henry,IL,456.1
Clarke,GA,456.2
Tazewell,IL,456.3
Sequatchie,TN,456.3
King William,VA,456.3
Stone,AR,456.8
Shelby,IN,456.9
Sevier,UT,457
Calumet,WI,457.1
Worcester,MD,457.1
Warren,KY,457.2
Caroline,VA,457.3
Venango,PA,457.3
Sweetwater,WY,457.5
Summit,OH,457.5
Northampton,NC,457.5
Siskiyou,CA,457.7
Kanawha,WV,457.8
Kershaw,SC,457.9
Zavala,TX,457.9
Baldwin,AL,457.9
Kingman,KS,457.9
Shelby,IL,457.9
Merced,CA,458.1
Gadsden,FL,458.1
Blair,PA,458.1
Wadena,MN,458.1
Jefferson,PA,458.1
Clearfield,PA,458.2
Fulton,OH,458.3
Meade,KY,458.3
Peoria,IL,458.4
Bureau,IL,458.4
San Joaquin,CA,458.5
Swain,NC,458.5
Erie,NY,458.6
Roosevelt,NM,458.6
Trinity,CA,458.6
Mercer,IL,458.9
Marshall,IL,459
Pecos,TX,459
Adams,WI,459
Butler,IA,459.1
Lewis,NY,459.1
Davidson,NC,459.2
Dickinson,MI,459.2
Greene,MO,459.2
St. Joseph,IN,459.2
Lincoln,NC,459.4
Lancaster,SC,459.5
Johnson,IN,459.6
Carroll,IL,459.7
Berks,PA,459.7
Logan,OK,459.8
Tippecanoe,IN,459.9
Refugio,TX,459.9
Vance,NC,460
Rush,IN,460.1
Monongalia,WV,460.2
Rutherford,TN,460.3
Haywood,NC,460.3
Jackson,MO,460.3
Cass,MI,460.4
Sutter,CA,460.4
Cumberland,TN,460.4
Alleghany,VA,460.4
Grayson,TX,460.4
Keweenaw,MI,460.5
Plaquemines,LA,460.6
Lee,TX,460.6
Tripp,SD,460.6
Oktibbeha,MS,460.9
Franklin,OH,460.9
Stark,IL,460.9
Miami,KS,460.9
Worth,MO,461.1
Volusia,FL,461.2
Lexington,VA,461.2
DeWitt,TX,461.3
Del Norte,CA,461.3
Anderson,KY,461.3
Hancock,KY,461.3
Clay,IL,461.6
Calhoun,TX,461.7
Grundy,IL,461.8
Medina,TX,461.9
Jackson,TX,462
Monroe,MI,462
Hamilton,OH,462.2
Mercer,PA,462.3
Mellette,SD,462.3
Briscoe,TX,462.4
Gibson,IN,462.4
Henderson,KY,462.5
Emporia,VA,462.5
Milwaukee,WI,462.6
Waynesboro,VA,462.7
Dickens,TX,462.8
Pope,IL,462.9
Ottawa,KS,463
Scotland,MO,463.1
Laurens,SC,463.3
Fresno,CA,463.4
Lassen,CA,463.7
Knox,IL,463.8
Sandusky,OH,463.8
Bannock,ID,463.9
Wayne,WV,463.9
Schuyler,MO,464
Wyoming,NY,464.1
Rensselaer,NY,464.2
Pershing,NV,464.2
Wabash,IN,464.3
Marion,IN,464.5
Chatham,GA,464.5
Lee,AL,464.7
St. Clair,IL,464.7
Tyler,WV,464.8
Lincoln,WV,465.2
St. Lawrence,NY,465.2
Beaver,PA,465.2
Cochran,TX,465.3
Grant,WV,465.4
Gogebic,MI,465.4
White,IN,465.5
Cloud,KS,465.5
Perry,IN,465.6
Camden,MO,465.6
Gilmer,WV,465.6
Anderson,TN,465.6
Kane,UT,465.7
Duval,FL,466
Dauphin,PA,466.1
Calhoun,WV,466.1
Fayette,TX,466.2
Sullivan,PA,466.2
Madison,IN,466.3
Brown,KS,466.3
Franklin,KS,466.5
Trigg,KY,466.5
Clinton,IL,466.5
Ellsworth,KS,466.6
Surry,VA,466.6
Humboldt,IA,466.7
Stokes,NC,466.7
Logan,KY,466.8
Lee,IL,466.9
Suffolk,VA,467
Hill,TX,467.2
Decatur,IA,467.2
Henry,OH,467.4
Ashland,OH,467.5
Carroll,OH,467.6
Burke,NC,467.6
Adair,MO,467.7
Calhoun,MI,467.7
Waushara,WI,467.7
Canadian,OK,467.9
Hamilton,IL,467.9
LaGrange,IN,468
Baxter,AR,468
Cambria,PA,468.1
Herkimer,NY,468.3
Newton,GA,468.3
Matagorda,TX,468.4
Gilmer,GA,468.5
Jefferson,NY,468.6
Berkeley,WV,468.8
Niobrara,WY,469
Oldham,TX,469
Steuben,NY,469
Hertford,NC,469
Athens,OH,469.1
Cabell,WV,469.1
Clay,WV,469.2
Fulton,IL,469.2
Doniphan,KS,469.2
Milam,TX,469.3
Caddo,LA,469.4
Hickory,MO,469.6
Escambia,FL,470.1
Morgan,IN,470.2
Dawson,TX,470.2
Atchison,KS,470.4
Douglas,GA,470.5
Maury,TN,470.5
Horry,SC,470.7
Bay,FL,470.7
Washington,IL,470.7
Kenosha,WI,470.8
Henry,VA,470.8
Hutchinson,SD,470.9
Marion,IA,470.9
Curry,NM,470.9
Lafayette,LA,471
Clinton,MO,471.1
Ocean,NJ,471.1
De Baca,NM,471.2
Jones,NC,471.2
Greene,IL,471.2
San Patricio,TX,471.2
Braxton,WV,471.3
Rock Island,IL,471.3
Huntington,IN,471.5
Hill,MT,471.6
Decatur,IN,471.8
Carbon,PA,471.9
Moultrie,IL,472.1
Davison,SD,472.1
Somerset,ME,472.2
Hyde,NC,472.3
Taylor,IA,472.3
Franklin,MO,472.4
Randolph,IL,472.5
Schuyler,IL,472.5
Waupaca,WI,472.5
Washington,TN,472.7
Modoc,CA,472.7
Oceana,MI,472.7
Beaufort,NC,472.7
Warren,PA,472.8
Madison,NC,472.9
Perquimans,NC,472.9
Wexford,MI,472.9
Lincoln,MT,472.9
Scott,IL,473.1
Larue,KY,473.3
Levy,FL,473.3
Bryan,GA,473.3
Page,VA,473.3
Aransas,TX,473.7
Garza,TX,473.7
Lake,IN,473.8
Bartholomew,IN,474
Thomas,GA,474
Marshall,WV,474
Carson,TX,474.1
Forest,PA,474.1
Gulf,FL,474.2
Ford,IL,474.3
Buchanan,MO,474.3
Ellis,TX,474.3
Gaston,NC,474.8
Hemphill,TX,475.1
Jasper,IL,475.2
Cumberland,IL,475.2
Worth,GA,475.2
Montgomery,OH,475.3
Champaign,OH,475.4
Lincoln,MO,475.6
Karnes,TX,475.7
Catoosa,GA,475.8
Osborne,KS,475.8
Nash,NC,475.9
Randall,TX,476
Christian,MO,476.1
Ouachita,LA,476.1
Montgomery,IL,476.1
Caroline,MD,476.2
Jackson,MI,476.3
Ray,MO,476.3
Effingham,GA,476.3
Falls,TX,476.4
Georgetown,SC,476.5
Archer,TX,476.5
Webster,IA,476.5
Humboldt,NV,476.5
Randolph,NC,476.6
Oneida,NY,476.6
Putnam,FL,476.9
Jefferson,FL,477
Clark,KS,477
Saline,MO,477
Dallas,MO,477
Chemung,NY,477.1
Lynn,TX,477.1
Marinette,WI,477.2
Orleans,LA,477.3
Payne,OK,477.4
Camden,GA,477.4
Johnston,NC,477.5
Swisher,TX,477.9
Kusilvak,AK,478
Jay,IN,478.2
Luzerne,PA,478.3
Cowley,KS,478.4
Newton,IN,478.6
Rowan,NC,478.6
Cherokee,NC,478.6
Wayne,UT,478.8
Fountain,IN,478.9
Allen,OH,479.3
Lubbock,TX,479.3
Roane,WV,479.3
Bee,TX,479.4
Marion,FL,479.4
San Bernardino,CA,479.5
Delaware,IN,479.5
Washoe,NV,479.7
Coshocton,OH,479.8
Edmonson,KY,479.8
Smith,KS,480
Greene,IN,480.1
Henry,IN,480.1
Grady,GA,480.3
Yoakum,TX,480.3
Madison,ID,480.4
Bosque,TX,480.5
McCulloch,TX,480.6
Bethel,AK,480.6
Knox,OH,480.7
Mountrail,ND,480.7
Florence,WI,480.7
Atascosa,TX,480.8
Holmes,OH,480.8
Rockingham,NC,480.9
Calhoun,FL,481
Elk,KS,481
Edwards,IL,481.1
Houston,GA,481.1
Geary,KS,481.2
Motley,TX,481.2
Bingham,ID,481.3
Howard,MO,481.4
Woodson,KS,481.5
Coryell,TX,481.7
Union,TN,481.7
Somerset,PA,482
Randolph,IN,482.1
Putnam,IN,482.2
Mills,TX,482.2
Iron,MI,482.3
St. Bernard,LA,482.4
Lynchburg,VA,482.4
Macoupin,IL,482.6
Bourbon,KY,482.6
Floyd,TX,482.7
Wheeler,GA,482.9
Allen,KS,483.1
Richland,IL,483.2
Montgomery,IN,483.2
Bond,IL,483.3
Monroe,OH,483.4
Bronx,NY,483.5
Cleburne,AR,483.5
Cumberland,NC,483.6
Ottawa,OH,483.7
Crawford,IN,483.7
Tuscarawas,OH,484.2
Panola,TX,484.2
Crawford,PA,484.3
White,IL,484.3
Warren,IL,484.3
Lake,CA,484.3
Blackford,IN,484.4
Caldwell,MO,484.4
Roane,TN,484.4
Duplin,NC,484.5
Gladwin,MI,484.7
Hamilton,TN,484.7
Love,OK,484.8
Davis,IA,484.8
Power,ID,485.1
Clinton,IA,485.2
West Baton Rouge,LA,485.3
Pickens,SC,485.3
Randolph,WV,485.4
Anderson,KS,485.5
Cuyahoga,OH,485.6
White Pine,NV,485.8
Madison,AL,485.8
Richmond City,VA,485.8
Johnson,TX,485.9
Boone,IN,486
Saline,IL,486.1
Putnam,IL,486.2
Columbia,FL,486.2
Christian,KY,486.5
Clark,NV,486.5
Halifax,NC,486.8
Breckinridge,KY,486.8
Lamb,TX,486.9
Nome,AK,487
Muskingum,OH,487
Mecosta,MI,487.2
Woodward,OK,487.5
Bertie,NC,487.7
Ionia,MI,487.8
Shasta,CA,487.9
McDonough,IL,487.9
Pettis,MO,488
Blaine,MT,488.1
Daviess,MO,488.3
Columbia,PA,488.6
Union,KY,488.6
Dallam,TX,488.7
Eddy,NM,488.8
Humboldt,CA,489.1
Wyoming,PA,489.1
Davidson,TN,489.1
Crosby,TX,489.3
Madison,MS,489.3
Polk,MO,489.4
Chambers,TX,489.7
Van Buren,MI,489.8
Pickaway,OH,489.9
Liberty,GA,489.9
Monroe,TN,489.9
Bedford,PA,490
Woods,OK,490
Hancock,MS,490.1
Taylor,FL,490.1
Douglas,MO,490.2
Lincoln,NV,490.2
Brown,OH,490.3
Preston,WV,490.3
Halifax,VA,490.5
Freestone,TX,490.5
Miami,OH,490.5
Stanislaus,CA,490.9
Houston,TX,490.9
Pickens,GA,491
Lawrence,PA,491.1
Montcalm,MI,491.2
Izard,AR,491.5
Linn,KS,491.5
Webster,WV,491.6
Tucker,WV,491.7
Northumberland,PA,491.8
Mineral,WV,491.9
Orangeburg,SC,492
Sevier,TN,492
Wabash,IL,492
Fulton,NY,492
Atlantic,NJ,492.2
Beaver,OK,492.2
Morgan,IL,492.2
Richland,OH,492.3
Tyrrell,NC,492.3
Lee,GA,492.4
Colonial Heights,VA,492.6
Smyth,VA,492.8
Washington,NC,492.8
Washington,MD,492.9
DeSoto,MS,493.3
Van Buren,IA,493.3
Ohio,WV,493.8
Shelby,OH,494.1
Darke,OH,494.1
Daviess,IN,494.5
Faulkner,AR,494.7
Macomb,MI,494.8
Hanson,SD,494.9
Wayne,NC,495
Caldwell,NC,495.3
Carter,TN,495.3
Charlotte,VA,495.3
Butler,KY,495.4
Kankakee,IL,495.5
Hamilton,TX,495.6
Carson City,NV,495.9
Wapello,IA,496
North Slope,AK,496
Dewey,SD,496.1
Van Buren,AR,496.3
Livingston,IL,496.3
Wayne,IA,496.5
Marion,AR,496.7
Lincoln,KY,496.8
Reeves,TX,496.8
Emery,UT,496.9
Webster,MO,496.9
Wagoner,OK,497.2
Cape Girardeau,MO,497.3
Grainger,TN,497.5
Northwest Arctic,AK,497.6
Bartow,GA,497.7
Jefferson,TN,497.9
Nicholas,WV,497.9
Walton,GA,498
Otero,CO,498.1
Hampton,VA,498.2
Portage,OH,498.4
Rockcastle,KY,498.5
Fayette,IN,498.5
Prince Edward,VA,498.5
Newberry,SC,498.5
Kern,CA,498.6
Clinton,IN,498.8
Warren,IN,498.9
Franklin,FL,498.9
Martin,IN,499.2
Dixie,FL,499.3
Elliott,KY,499.4
Bourbon,KS,499.4
Ripley,IN,499.6
Brantley,GA,499.6
Sampson,NC,499.6
Morrow,OH,499.8
District of Columbia,DC,499.8
Terry,TX,499.9
Monroe,IA,500
Grant,AR,500.1
Bleckley,GA,500.2
Auglaize,OH,500.2
Pleasants,WV,500.2
Hamblen,TN,500.5
Harper,OK,500.6
Benton,IN,500.6
Bledsoe,TN,500.9
Montgomery,TN,500.9
Seneca,OH,501.1
St. James,LA,501.1
Red River,LA,501.4
Gallatin,IL,501.7
Wyandotte,KS,501.8
Eddy,ND,501.8
Silver Bow,MT,502
Terrell,GA,502
Long,GA,502.2
Montgomery,IA,502.3
Crawford,KS,502.4
Liberty,FL,502.4
Wood,OH,502.4
Ste. Genevieve,MO,502.5
Fulton,AR,502.5
Union,IA,502.5
Iroquois,IL,502.5
Guernsey,OH,502.7
Wichita,TX,502.7
Neosho,KS,502.9
Pope,AR,502.9
Lucas,IA,503
Fulton,PA,503
Colorado,TX,503
Erath,TX,503.1
Chickasaw,IA,503.2
Wakulla,FL,503.4
Warren,NC,503.4
Putnam,MO,503.5
Wayne,PA,503.6
Osage,OK,503.7
Pulaski,AR,503.7
Floyd,IN,503.7
Madison,IL,504
Wyandot,OH,504
Sullivan,TN,504.1
Lenawee,MI,504.2
Switzerland,IN,504.2
Wayne,IL,504.3
Wise,TX,504.3
Lincoln,GA,504.5
Pike,OH,504.6
Garrett,MD,504.8
Chautauqua,NY,504.9
Jasper,GA,504.9
Throckmorton,TX,504.9
Gaines,TX,505
Carroll,KY,505
Cecil,MD,505
Pulaski,GA,505.2
Clayton,GA,505.2
La Salle,IL,505.3
King,TX,505.3
Cape May,NJ,505.4
Hart,GA,505.6
Norfolk,VA,505.6
Stonewall,TX,506.2
Clay,TX,506.5
Brooks,TX,506.5
Decatur,GA,506.6
Spartanburg,SC,506.8
Lackawanna,PA,506.9
Madison,TX,506.9
Live Oak,TX,507
Tulare,CA,507.1
Osceola,MI,507.2
Livingston,MO,507.2
Kingfisher,OK,507.3
Jefferson,MO,507.4
Camden,NC,507.5
Greene,NC,507.6
Shoshone,ID,507.6
Grimes,TX,507.8
Hartley,TX,507.9
Casey,KY,508.1
Clarendon,SC,508.4
Scott,TN,508.6
Sheridan,MT,508.6
Lowndes,MS,508.8
Carroll,AR,508.8
Dougherty,GA,509
Todd,KY,509.2
Baylor,TX,509.2
Harrison,TX,509.4
Ontonagon,MI,509.4
Donley,TX,509.6
Barbour,WV,509.6
Putnam,GA,509.7
Salem,NJ,509.9
Grant,IN,510
Isabella,MI,510.2
Audrain,MO,510.6
Major,OK,510.6
De Soto,LA,511
Knox,TX,511
Pike,IN,511.2
Crisp,GA,511.4
Baraga,MI,511.4
Cooke,TX,511.4
San Jacinto,TX,511.4
Lawrence,MO,511.5
Fall River,SD,511.7
Franklin,TN,511.8
Clark,KY,511.8
Knox,IN,511.9
Ellis,OK,512.4
Ross,OH,512.4
Ritchie,WV,512.5
Appanoose,IA,512.9
Martin,NC,513.1
Salem,VA,513.2
McCone,MT,513.3
Orange,IN,513.3
Shackelford,TX,513.4
Owen,IN,513.5
Benton,MO,513.6
Mitchell,GA,514
Jefferson,AL,514
Giles,VA,514
Esmeralda,NV,514.1
Haskell,TX,514.2
Sumter,SC,514.4
Echols,GA,514.4
Chariton,MO,514.5
Pearl River,MS,514.6
Perry,MO,514.6
Patrick,VA,514.6
McKean,PA,514.7
Alpena,MI,514.8
Ascension,LA,514.8
Taliaferro,GA,514.9
Crane,TX,514.9
Wilbarger,TX,514.9
Dade,MO,515.1
Bossier,LA,515.2
Shiawassee,MI,515.2
Hamilton,FL,515.3
Jackson,FL,515.6
Taylor,KY,515.7
Lee,IA,515.8
Branch,MI,516.2
Reagan,TX,516.2
Taylor,GA,516.3
Assumption,LA,516.4
Randolph,GA,516.6
Dimmit,TX,516.7
Mercer,WV,517
Alfalfa,OK,517.1
Eureka,NV,517.2
Laurel,KY,517.2
Montgomery,AL,517.4
Nacogdoches,TX,517.4
Lunenburg,VA,517.5
Sierra,NM,517.5
Scotland,NC,517.5
Monroe,MO,517.6
Ozark,MO,517.7
Montgomery,NY,517.7
St. Helena,LA,518.2
Harnett,NC,518.4
Hale,TX,518.4
Unicoi,TN,518.5
Northampton,VA,518.5
Grant,OK,518.7
Knox,MO,518.7
Pickett,TN,518.8
Limestone,TX,519.1
Morgan,TN,519.2
Wetzel,WV,519.2
Tuscola,MI,519.2
Loving,TX,519.4
Pulaski,VA,519.5
Houghton,MI,519.5
Searcy,AR,519.5
Chambers,AL,520.2
Ohio,KY,520.2
Greene,PA,520.4
Wayne,MO,520.7
Pontotoc,MS,520.9
