County,State,Value
Benton,MN,340.3
Grafton,NH,340.5
Jones,SD,340.5
Brewster,TX,340.7
Yellow Medicine,MN,340.9
Nobles,MN,341
Barnes,ND,341
Washington,CO,341.5
Kit Carson,CO,341.6
James City,VA,341.9
Honolulu,HI,342
Morrison,MN,342.3
Tom Green,TX,342.3
McKinley,NM,342.4
Wood,WI,342.9
Colfax,NM,343
Patillas,PR,343.2
Norman,MN,343.3
Brown,MN,343.4
Bear Lake,ID,343.5
Mille Lacs,MN,343.7
Bergen,NJ,343.8
San Juan,NM,343.9
Albany,WY,343.9
Sarpy,NE,344
Douglas,NV,344.2
Somerset,NJ,344.2
Polk,OR,344.6
Lac qui Parle,MN,344.7
Arroyo,PR,344.7
Fredericksburg,VA,344.8
Lares,PR,344.9
Weld,CO,345.1
Greene,VA,345.3
Champaign,IL,345.7
Lincoln,MN,345.9
Murray,MN,346
Fauquier,VA,346
Hays,TX,346
Lane,OR,346.2
New York,NY,346.2
Anchorage,AK,346.2
Maricopa,AZ,346.3
Franklin,WA,346.3
Denton,TX,346.4
Aguadilla,PR,346.7
Teton,ID,346.7
Cuming,NE,346.7
Steele,ND,346.9
Wallace,KS,347
Island,WA,347
Billings,ND,347.1
Minidoka,ID,347.2
Blanco,TX,347.2
Stevens,KS,347.3
Indian River,FL,347.5
Snyder,PA,347.5
McLean,ND,347.6
El Dorado,CA,347.7
Blount,TN,347.8
Riley,KS,348.4
Maunabo,PR,348.5
Le Sueur,MN,348.7
Renville,MN,348.7
Douglas,MN,348.7
Kanabec,MN,348.8
Frederick,VA,348.9
Douglas,WA,349
Redwood,MN,349.3
Deschutes,OR,349.3
Durham,NC,349.8
Lawrence,SD,350.1
Sabana Grande,PR,350.2
Butte,ID,350.2
Lake,MN,350.3
Jayuya,PR,350.6
Spotsylvania,VA,351
Henderson,NC,351
Custer,ID,351.1
Ventura,CA,351.1
Todd,MN,351.2
Taylor,WI,351.5
Carbon,MT,351.8
Morris,NJ,352
Winchester,VA,352.2
Mecklenburg,NC,352.3
Swift,MN,352.5
Ottawa,MI,352.5
Louisa,VA,352.8
Mineral,CO,353
Newport,RI,353.1
Lincoln,NM,353.2
Gillespie,TX,353.4
Lincoln,LA,353.5
Hidalgo,TX,353.6
Williamson,TN,353.8
Orange,CA,353.8
Sheridan,ND,353.9
Delaware,OH,354.1
Westchester,NY,354.1
Adjuntas,PR,354.1
La Crosse,WI,354.2
Cheyenne,KS,354.2
Middlesex,CT,354.3
Pennington,MN,354.4
Rockingham,VA,354.4
Emmet,IA,354.6
Napa,CA,354.7
Jefferson,CO,354.7
Adams,ID,354.8
Traill,ND,354.8
Burleigh,ND,354.8
Schleicher,TX,355
Kane,IL,355.1
Pembina,ND,355.3
Teton,MT,355.3
Cottonwood,MN,355.4
Bucks,PA,355.7
Mason,TX,355.7
Sibley,MN,355.8
Lyon,IA,355.9
San Juan,CO,355.9
San Diego,CA,355.9
Ransom,ND,356
Jackson,OR,356.5
Rockingham,NH,356.6
Matanuska-Susitna,AK,356.7
Slope,ND,356.9
Pondera,MT,357.1
Snohomish,WA,357.1
Plymouth,IA,357.5
Cass,NE,357.6
St. Louis,MN,357.7
Bottineau,ND,357.7
Virginia Beach,VA,357.7
Houston,MN,357.9
Nantucket,MA,358.3
Dukes,MA,358.3
San Luis Obispo,CA,358.4
Tolland,CT,358.4
Clark,WA,358.4
Crook,WY,358.4
Lamoille,VT,358.5
Oconee,GA,358.5
Santa Cruz,AZ,358.8
Winona,MN,358.8
Marshall,MN,358.9
Hughes,SD,358.9
Logan,KS,359.1
Scott,IA,359.2
Oliver,ND,359.3
Sonoma,CA,359.4
Llano,TX,359.5
Iowa,WI,359.5
Yolo,CA,359.8
Lancaster,NE,359.8
Pinellas,FL,359.9
Fillmore,MN,360.3
Logan,CO,360.6
Yauco,PR,360.6
Rockland,NY,360.7
Alachua,FL,360.8
Franklin,ID,360.8
Hamilton,IA,360.9
Hillsborough,NH,360.9
Washington,RI,360.9
Beaverhead,MT,361
Kidder,ND,361.5
Leon,FL,361.5
Ponce,PR,361.6
Monroe,IN,361.8
Haskell,KS,361.8
Union,PA,361.9
Fayette,GA,362
Washington,WI,362.1
Douglas,WI,362.2
Meade,SD,362.3
Greeley,NE,362.3
Essex,VT,362.4
Guanica,PR,362.5
Grant,OR,362.5
Pope,MN,362.7
Clay,KS,362.7
Guayanilla,PR,362.7
Kittitas,WA,362.7
Hudspeth,TX,362.8
Haakon,SD,362.8
Johnson,NE,362.8
Chase,NE,362.9
Livingston,NY,362.9
Solano,CA,362.9
Skagit,WA,362.9
Clallam,WA,363
Imperial,CA,363
Gwinnett,GA,363
Cameron,TX,363.1
Morgan,CO,363.3
Pima,AZ,363.3
Pennington,SD,363.4
Bernalillo,NM,363.6
Whatcom,WA,363.8
Yamhill,OR,364.3
Hettinger,ND,364.3
Apache,AZ,364.3
Woodbury,IA,364.3
Sullivan,NH,364.5
Dunn,WI,364.5
Thurston,WA,364.7
Colfax,NE,364.8
El Paso,CO,364.8
Ada,ID,364.9
Otoe,NE,364.9
Tillamook,OR,364.9
Yavapai,AZ,365.1
Sterling,TX,365.1
Pendleton,WV,365.5
Penuelas,PR,365.5
Ziebach,SD,365.6
Richland,ND,365.6
Koochiching,MN,365.6
Columbia,WA,365.8
Prince George,VA,365.8
Poquoson,VA,365.9
Pine,MN,365.9
Aitkin,MN,365.9
Platte,MO,365.9
Gilliam,OR,365.9
Cibola,NM,366.2
Huerfano,CO,366.3
Wabasha,MN,366.6
Howard,NE,366.8
Hartford,CT,366.9
El Paso,TX,366.9
Idaho,ID,367
Butler,NE,367
Adams,CO,367.1
Navajo,AZ,367.1
Roseau,MN,367.2
Merrick,NE,367.2
Valdez-Cordova,AK,367.3
Cherokee,IA,367.3
Gosper,NE,367.4
Douglas,KS,367.5
Barnstable,MA,367.6
Red Lake,MN,367.8
Walla Walla,WA,367.8
Juana Diaz,PR,368.3
Burnett,WI,368.4
Lincoln,OR,368.9
Oxford,ME,369.1
Pueblo,CO,369.2
Moore,NC,369.3
Jasper,IA,369.4
Summit,UT,369.6
New London,CT,370
Montezuma,CO,370.2
Hodgeman,KS,370.2
Union,SD,370.2
Loudon,TN,370.4
Lake of the Woods,MN,370.5
Uintah,UT,370.6
Watonwan,MN,370.7
DeKalb,IL,370.7
Berkshire,MA,370.8
Nance,NE,370.8
Goodhue,MN,370.9
Teller,CO,370.9
Burnet,TX,370.9
Buncombe,NC,371
Wheeler,OR,371.1
Kimball,NE,371.2
Stevens,MN,371.2
Butte,SD,371.2
Hall,NE,371.3
Mercer,ND,371.5
New Haven,CT,371.6
Latah,ID,371.8
Grand,UT,371.8
Itasca,MN,371.9
Plymouth,MA,372.2
Custer,NE,372.2
Highland,VA,372.2
Wheeler,NE,372.3
Columbia,GA,372.4
Madison,IA,372.5
Chester,PA,372.6
Linn,IA,372.7
Benton,IA,372.8
Marion,OR,372.8
Merrimack,NH,372.8
Dundy,NE,372.8
Iowa,IA,373
Sherman,KS,373.1
Freeborn,MN,373.1
Granville,NC,373.3
Golden Valley,ND,373.3
Washington,TX,373.3
Guadalupe,NM,373.6
Winneshiek,IA,373.6
St. Lucie,FL,373.6
Stark,ND,373.7
Custer,CO,373.9
Las Animas,CO,374
Johnson,IA,374
Monroe,NY,374
Hampshire,MA,374.1
Willacy,TX,374.1
Dawson,NE,374.5
Valley,NE,374.5
Southeast Fairbanks,AK,374.5
Monroe,FL,374.5
Dolores,CO,374.6
Phelps,NE,374.6
Saratoga,NY,374.6
Saguache,CO,374.7
Baker,OR,375
Sherman,NE,375.3
Skamania,WA,375.3
Dawson,MT,375.4
Klickitat,WA,375.5
Crowley,CO,375.7
Lehigh,PA,375.8
Spokane,WA,376
Rockbridge,VA,376
Morrow,OR,376
Tompkins,NY,376.1
Jerauld,SD,376.1
Okanogan,WA,376.2
Forsyth,GA,376.2
Jackson,NC,376.3
Buffalo,NE,376.3
Grand Isle,VT,376.3
Dodge,MN,376.5
Middlesex,NJ,376.5
Essex,NY,376.6
Dakota,NE,376.7
Bent,CO,376.7
McLeod,MN,376.8
Hood River,OR,376.9
Cassia,ID,377
Washtenaw,MI,377.1
Augusta,VA,377.1
Deuel,SD,377.2
Jefferson,MT,377.2
Josephine,OR,377.2
Cheshire,NH,377.4
Faribault,MN,377.5
Washakie,WY,377.5
Stephenson,IL,377.6
Yuma,CO,377.7
Kewaunee,WI,377.8
Benton,WA,377.9
Kendall,IL,377.9
Pipestone,MN,377.9
Southampton,VA,378
Kitsap,WA,378
Jackson,SD,378.1
Gage,NE,378.2
Seminole,FL,378.2
Ida,IA,378.3
Clay,IA,378.3
Rock,MN,378.3
Worcester,MA,378.3
Hidalgo,NM,378.3
Lincoln,KS,378.6
Yukon-Koyukuk,AK,378.7
Jefferson,ID,378.8
Charleston,SC,378.8
Litchfield,CT,378.9
Flathead,MT,378.9
Strafford,NH,379
Warren,NY,379
Alexander,NC,379.2
Cascade,MT,379.2
Marshall,KS,379.2
Culpeper,VA,379.3
Saunders,NE,379.6
Pend Oreille,WA,379.7
Tooele,UT,379.7
Northampton,PA,379.8
Daggett,UT,379.9
Cobb,GA,379.9
Alpine,CA,380
Polk,NC,380
Custer,SD,380
Orange,VA,380
Shenandoah,VA,380
Valencia,NM,380.3
McPherson,SD,380.5
Lincoln,NE,380.6
Frontier,NE,380.8
Sioux,NE,380.9
Knox,ME,381
