County,State, Value ,
Jackson,SD, 33.90 ,  
Texas,MO, 33.90 ,  
Bienville,LA, 33.90 ,  
Adair,KY, 33.90 ,  
Wilcox,GA, 33.90 ,  
Upson,GA, 34.00 ,  
Terrell,GA, 34.00 ,  
Apache,AZ, 34.00 ,  
Marion,AR, 34.00 ,  
Bent,CO, 34.00 ,  
Saguache,CO, 34.00 ,  
Bennett,SD, 34.00 ,  
Jackson,TN, 34.10 ,  
Zapata,TX, 34.10 ,  
Baca,CO, 34.10 ,  
Bradley,AR, 34.10 ,  
Clarke,AL, 34.10 ,  
DeSoto,FL, 34.10 ,  
Dixie,FL, 34.10 ,  
Iron,MO, 34.10 ,  
Taos,NM, 34.10 ,  
Pushmataha,OK, 34.20 ,  
Washington,LA, 34.20 ,  
Crisp,GA, 34.20 ,  
Scott,AR, 34.20 ,  
Claiborne,LA, 34.20 ,  
Macon,TN, 34.20 ,  
Scott,TN, 34.20 ,  
Petersburg,VA, 34.20 ,  
Martinsville,VA, 34.30 ,  
Bullock,AL, 34.30 ,  
La Paz,AZ, 34.30 ,  
Conejos,CO, 34.40 ,  
Evangeline,LA, 34.40 ,  
Clay,MS, 34.40 ,  
Calhoun,MS, 34.40 ,  
Robeson,NC, 34.40 ,  
Copiah,MS, 34.50 ,  
Scott,MS, 34.50 ,  
Hamilton,FL, 34.50 ,  
Meriwether,GA, 34.50 ,  
Clarendon,SC, 34.50 ,  
Orangeburg,SC, 34.60 ,  
Cottle,TX, 34.60 ,  
Houston,TX, 34.60 ,  
Ware,GA, 34.60 ,  
Huerfano,CO, 34.60 ,  
Chickasaw,MS, 34.60 ,  
Edgecombe,NC, 34.60 ,  
Mora,NM, 34.60 ,  
Vance,NC, 34.70 ,  
Evans,GA, 34.70 ,  
Haskell,TX, 34.70 ,  
Duval,TX, 34.80 ,  
Menard,TX, 34.80 ,  
Clinch,GA, 34.80 ,  
Washington,FL, 34.80 ,  
Pike,AR, 34.80 ,  
Marengo,AL, 34.80 ,  
Jasper,MS, 34.80 ,  
Montgomery,MS, 34.90 ,  
Catron,NM, 34.90 ,  
Colquitt,GA, 34.90 ,  
Marion,TX, 34.90 ,  
Campbell,TN, 35.00 ,  
Seminole,GA, 35.00 ,  
Covington,AL, 35.00 ,  
Avoyelles,LA, 35.00 ,  
Jackson,IL, 35.00 ,  
Amite,MS, 35.00 ,  
Scotland,NC, 35.10 ,  
Okfuskee,OK, 35.10 ,  
Escambia,AL, 35.10 ,  
Jackson,AR, 35.10 ,  
Crosby,TX, 35.10 ,  
Perry,TN, 35.10 ,  
Roane,WV, 35.10 ,  
Danville,VA, 35.20 ,  
Galax,VA, 35.20 ,  
Pike,AL, 35.20 ,  
Powell,KY, 35.20 ,  
Greer,OK, 35.20 ,  
Wheeler,OR, 35.30 ,  
Columbus,NC, 35.30 ,  
Yalobusha,MS, 35.30 ,  
Columbia,AR, 35.30 ,  
Gilmer,WV, 35.30 ,  
Overton,TN, 35.30 ,  
Hudspeth,TX, 35.30 ,  
Lincoln,AR, 35.40 ,  
Hale,AL, 35.40 ,  
Butler,AL, 35.40 ,  
Caldwell,LA, 35.40 ,  
Johnson,KY, 35.40 ,  
Woodson,KS, 35.40 ,  
Richmond,NC, 35.40 ,  
Washington,NC, 35.40 ,  
Hertford,NC, 35.40 ,  
Wayne,MS, 35.50 ,  
Butler,MO, 35.50 ,  
St. Helena,LA, 35.50 ,  
Washington,GA, 35.50 ,  
Jeff Davis,GA, 35.50 ,  
Cook,GA, 35.50 ,  
Baker,GA, 35.50 ,  
Hardeman,TX, 35.50 ,  
Tattnall,GA, 35.60 ,  
Rockcastle,KY, 35.60 ,  
West Carroll,LA, 35.60 ,  
Leake,MS, 35.60 ,  
Panola,MS, 35.60 ,  
Martin,NC, 35.60 ,  
Northampton,NC, 35.70 ,  
St. Clair,MO, 35.70 ,  
Washington,MO, 35.70 ,  
Lanier,GA, 35.70 ,  
Maverick,TX, 35.70 ,  
Haywood,TN, 35.70 ,  
Benton,TN, 35.70 ,  
Hampton,SC, 35.70 ,  
Radford,VA, 35.70 ,  
Logan,WV, 35.70 ,  
Colleton,SC, 35.80 ,  
Sumter,GA, 35.80 ,  
Dodge,GA, 35.80 ,  
Dougherty,GA, 35.80 ,  
Mississippi,AR, 35.80 ,  
Graham,NC, 35.80 ,  
Anson,NC, 35.80 ,  
Latimer,OK, 35.90 ,  
Ontonagon,MI, 35.90 ,  
Piscataquis,ME, 35.90 ,  
Crowley,CO, 35.90 ,  
Irwin,GA, 35.90 ,  
Echols,GA, 35.90 ,  
Lincoln,KY, 35.90 ,  
Owyhee,ID, 35.90 ,  
Pulaski,IL, 35.90 ,  
Hidalgo,TX, 35.90 ,  
Pocahontas,WV, 35.90 ,  
Wyoming,WV, 36.00 ,  
Ouachita,AR, 36.00 ,  
Pickens,AL, 36.00 ,  
Clay,AR, 36.00 ,  
Cedar,MO, 36.00 ,  
Alleghany,NC, 36.00 ,  
Kiowa,OK, 36.10 ,  
Winston,MS, 36.10 ,  
Oktibbeha,MS, 36.10 ,  
Poinsett,AR, 36.10 ,  
Decatur,GA, 36.10 ,  
Foard,TX, 36.10 ,  
Grayson,VA, 36.10 ,  
Dade,GA, 36.20 ,  
Howard,AR, 36.20 ,  
Green,KY, 36.20 ,  
Dallas,MO, 36.20 ,  
Oscoda,MI, 36.20 ,  
Choctaw,MS, 36.20 ,  
Howell,MO, 36.30 ,  
Cherokee,OK, 36.30 ,  
Warren,NC, 36.30 ,  
Torrance,NM, 36.30 ,  
Webster,GA, 36.30 ,  
Boone,WV, 36.30 ,  
San Augustine,TX, 36.40 ,  
Red River,TX, 36.40 ,  
Screven,GA, 36.40 ,  
Marion,AL, 36.40 ,  
Coosa,AL, 36.40 ,  
Montgomery,AR, 36.40 ,  
Haskell,OK, 36.40 ,  
Tillman,OK, 36.40 ,  
Benton,MO, 36.40 ,  
Benton,MS, 36.40 ,  
Gogebic,MI, 36.40 ,  
Talbot,GA, 36.50 ,  
Bath,KY, 36.50 ,  
Edwards,TX, 36.50 ,  
Barbour,WV, 36.50 ,  
Braxton,WV, 36.60 ,  
Menominee,WI, 36.60 ,  
Pickett,TN, 36.60 ,  
Cameron,TX, 36.60 ,  
Baylor,TX, 36.60 ,  
Hart,KY, 36.60 ,  
Pulaski,GA, 36.60 ,  
Monroe,AL, 36.60 ,  
Prentiss,MS, 36.60 ,  
Forrest,MS, 36.70 ,  
Seminole,OK, 36.70 ,  
Harmon,OK, 36.70 ,  
Cibola,NM, 36.70 ,  
Clarke,GA, 36.70 ,  
Calhoun,FL, 36.70 ,  
