County,Population,Median household income,State Code,State
Burleigh ,88223,65254,ND,North Dakota
Cass ,162500,53289,ND,North Dakota
Cavalier ,3890,66806,ND,North Dakota
Dickey ,5195,53750,ND,North Dakota
Divide ,2314,56042,ND,North Dakota
Dunn ,4195,69732,ND,North Dakota
Eddy ,2370,48583,ND,North Dakota
Emmons ,3463,44051,ND,North Dakota
Foster ,3366,55769,ND,North Dakota
Golden Valley ,1822,40179,ND,North Dakota
Grand Forks ,68979,48676,ND,North Dakota
Grant ,2362,44559,ND,North Dakota
Griggs ,2329,48355,ND,North Dakota
Hettinger ,2621,52169,ND,North Dakota
Kidder ,2430,54559,ND,North Dakota
LaMoure ,4113,54821,ND,North Dakota
Logan ,1945,51458,ND,North Dakota
McHenry ,5817,57386,ND,North Dakota
McIntosh ,2759,42277,ND,North Dakota
McKenzie ,9615,72794,ND,North Dakota
McLean ,9451,55686,ND,North Dakota
Mercer ,8633,72704,ND,North Dakota
Morton ,28985,62418,ND,North Dakota
Mountrail ,9253,68188,ND,North Dakota
Nelson ,3048,51085,ND,North Dakota
Oliver ,1819,60278,ND,North Dakota
Pembina ,7206,53504,ND,North Dakota
Pierce ,4395,42563,ND,North Dakota
Ramsey ,11566,50841,ND,North Dakota
Ransom ,5453,56500,ND,North Dakota
Renville ,2562,65125,ND,North Dakota
Richland ,16317,55390,ND,North Dakota
Rolette ,14498,33277,ND,North Dakota
Sargent ,3874,57125,ND,North Dakota
Sheridan ,1337,48102,ND,North Dakota
Sioux ,4380,38068,ND,North Dakota
Slope ,673,55000,ND,North Dakota
Stark ,28628,72099,ND,North Dakota
Steele ,1979,55833,ND,North Dakota
Stutsman ,21076,52359,ND,North Dakota
Towner ,2294,56625,ND,North Dakota
Traill ,8077,54960,ND,North Dakota
Walsh ,11005,49411,ND,North Dakota
Ward ,67736,61393,ND,North Dakota
Wells ,4204,48098,ND,North Dakota
Williams ,29619,88013,ND,North Dakota
Adams ,28229,35560,OH,Ohio
Allen ,105196,44103,OH,Ohio
Ashland ,53189,48003,OH,Ohio
Ashtabula ,99777,40544,OH,Ohio
Athens ,64974,33872,OH,Ohio
Auglaize ,45873,54274,OH,Ohio
Belmont ,69560,43833,OH,Ohio
Brown ,44247,45568,OH,Ohio
Butler ,372538,57540,OH,Ohio
Carroll ,28361,47075,OH,Ohio
Champaign ,39393,50974,OH,Ohio
Clark ,136827,43625,OH,Ohio
Clermont ,200285,60805,OH,Ohio
Clinton ,41892,46787,OH,Ohio
Columbiana ,105987,44497,OH,Ohio
Coshocton ,36724,41701,OH,Ohio
Crawford ,42725,40795,OH,Ohio
Cuyahoga ,1263189,44190,OH,Ohio
Darke ,52356,44632,OH,Ohio
Defiance ,38669,50663,OH,Ohio
Delaware ,185433,91955,OH,Ohio
Erie ,76141,48011,OH,Ohio
Fairfield ,149112,60567,OH,Ohio
Fayette ,28769,40503,OH,Ohio
Franklin ,1215761,52341,OH,Ohio
Fulton ,42485,55120,OH,Ohio
Gallia ,30565,37319,OH,Ohio
Geauga ,93874,72430,OH,Ohio
Greene ,164192,60113,OH,Ohio
Guernsey ,39626,40930,OH,Ohio
Hamilton ,804194,49013,OH,Ohio
Hancock ,75428,50895,OH,Ohio
Hardin ,31736,42703,OH,Ohio
Harrison ,15633,43173,OH,Ohio
Henry ,28015,53835,OH,Ohio
Highland ,43170,39858,OH,Ohio
Hocking ,28914,42170,OH,Ohio
Holmes ,43436,51996,OH,Ohio
Huron ,58937,48745,OH,Ohio
Jackson ,32854,39460,OH,Ohio
Jefferson ,68053,41942,OH,Ohio
Knox ,61004,48533,OH,Ohio
Lake ,229437,58029,OH,Ohio
Lawrence ,61827,42874,OH,Ohio
Licking ,168693,56549,OH,Ohio
Logan ,45484,49783,OH,Ohio
Lorain ,303152,52457,OH,Ohio
Lucas ,436261,41777,OH,Ohio
Madison ,43456,57406,OH,Ohio
Mahoning ,234550,41375,OH,Ohio
Marion ,65943,42966,OH,Ohio
Medina ,174831,66952,OH,Ohio
Meigs ,23473,37813,OH,Ohio
Mercer ,40863,53099,OH,Ohio
Miami ,103517,51569,OH,Ohio
Monroe ,14547,41528,OH,Ohio
Montgomery ,533763,43829,OH,Ohio
Morgan ,14913,37067,OH,Ohio
Morrow ,34996,51993,OH,Ohio
Muskingum ,86016,41130,OH,Ohio
Noble ,14508,41708,OH,Ohio
Ottawa ,41162,53914,OH,Ohio
Paulding ,19165,45550,OH,Ohio
Perry ,36025,42017,OH,Ohio
Pickaway ,56515,57439,OH,Ohio
Pike ,28396,40283,OH,Ohio
Portage ,161897,52552,OH,Ohio
Preble ,41682,47818,OH,Ohio
Putnam ,34184,60524,OH,Ohio
Richland ,122312,41877,OH,Ohio
Ross ,77334,43345,OH,Ohio
Sandusky ,60187,47209,OH,Ohio
Scioto ,78017,35903,OH,Ohio
Seneca ,55929,45444,OH,Ohio
Shelby ,49067,54550,OH,Ohio
Stark ,374979,47137,OH,Ohio
Summit ,541847,50765,OH,Ohio
Trumbull ,206373,43073,OH,Ohio
Tuscarawas ,92697,45310,OH,Ohio
Union ,53470,67382,OH,Ohio
Van Wert ,28576,48060,OH,Ohio
Vinton ,13234,40680,OH,Ohio
Warren ,219916,74379,OH,Ohio
Washington ,61351,43509,OH,Ohio
Wayne ,115371,50383,OH,Ohio
Williams ,37386,42492,OH,Ohio
Wood ,128885,53577,OH,Ohio
Wyandot ,22467,47555,OH,Ohio
Adair ,22236,33404,OK,Oklahoma
Alfalfa ,5755,50156,OK,Oklahoma
Atoka ,13906,36661,OK,Oklahoma
Beaver ,5530,52090,OK,Oklahoma
Beckham ,23300,48601,OK,Oklahoma
Blaine ,9810,41972,OK,Oklahoma
Bryan ,44003,38847,OK,Oklahoma
Caddo ,29495,40674,OK,Oklahoma
Canadian ,126193,64505,OK,Oklahoma
Carter ,48442,44531,OK,Oklahoma
Cherokee ,48097,38694,OK,Oklahoma
Choctaw ,15120,30617,OK,Oklahoma
Cimarron ,2341,46680,OK,Oklahoma
Cleveland ,268614,56452,OK,Oklahoma
Coal ,5812,38243,OK,Oklahoma
Comanche ,125531,46241,OK,Oklahoma
Cotton ,6112,46361,OK,Oklahoma
Craig ,14744,38876,OK,Oklahoma
Creek ,70761,45016,OK,Oklahoma
Custer ,28978,46125,OK,Oklahoma
Delaware ,41409,37942,OK,Oklahoma
Dewey ,4863,50904,OK,Oklahoma
Ellis ,4121,50855,OK,Oklahoma
Garfield ,62192,48238,OK,Oklahoma
Garvin ,27455,40524,OK,Oklahoma
Grady ,53612,52279,OK,Oklahoma
Grant ,4517,50250,OK,Oklahoma
Greer ,6117,40125,OK,Oklahoma
Harmon ,2866,31250,OK,Oklahoma
Harper ,3766,48359,OK,Oklahoma
Haskell ,12850,35252,OK,Oklahoma
Hughes ,13785,35563,OK,Oklahoma
Jackson ,26056,41560,OK,Oklahoma
Jefferson ,6333,33449,OK,Oklahoma
Johnston ,11022,38776,OK,Oklahoma
Kay ,45587,42134,OK,Oklahoma
Kingfisher ,15302,60034,OK,Oklahoma
Kiowa ,9302,39909,OK,Oklahoma
Latimer ,10774,39205,OK,Oklahoma
Le Flore ,49899,36490,OK,Oklahoma
Lincoln ,34504,45149,OK,Oklahoma
Logan ,44493,55299,OK,Oklahoma
Love ,9663,44549,OK,Oklahoma
McClain ,36512,56088,OK,Oklahoma
McCurtain ,33143,32324,OK,Oklahoma
McIntosh ,20280,36011,OK,Oklahoma
Major ,7700,51571,OK,Oklahoma
Marshall ,16014,40475,OK,Oklahoma
Mayes ,41007,42071,OK,Oklahoma
Murray ,13733,47077,OK,Oklahoma
Muskogee ,70224,39984,OK,Oklahoma
Noble ,11506,48285,OK,Oklahoma
Nowata ,10555,39875,OK,Oklahoma
Okfuskee ,12248,36216,OK,Oklahoma
Oklahoma ,754480,47437,OK,Oklahoma
Okmulgee ,39446,38843,OK,Oklahoma
Osage ,48054,45443,OK,Oklahoma
Ottawa ,32085,36347,OK,Oklahoma
Pawnee ,16499,45765,OK,Oklahoma
Payne ,79423,37667,OK,Oklahoma
Pittsburg ,44961,42576,OK,Oklahoma
Pontotoc ,38055,43261,OK,Oklahoma
Pottawatomie ,71136,44688,OK,Oklahoma
Pushmataha ,11226,32445,OK,Oklahoma
Roger Mills ,3780,50739,OK,Oklahoma
Rogers ,89190,58139,OK,Oklahoma
Seminole ,25481,36068,OK,Oklahoma
Sequoyah ,41464,35736,OK,Oklahoma
Stephens ,44806,43781,OK,Oklahoma
Texas ,21588,50242,OK,Oklahoma
Tillman ,7715,37759,OK,Oklahoma
Tulsa ,623335,49759,OK,Oklahoma
Wagoner ,75391,55715,OK,Oklahoma
Washington ,51760,50023,OK,Oklahoma
Washita ,11649,49632,OK,Oklahoma
Woods ,9033,55315,OK,Oklahoma
Woodward ,20986,55300,OK,Oklahoma
Baker ,16052,41098,OR,Oregon
Benton ,86495,49802,OR,Oregon
Clackamas ,389438,65965,OR,Oregon
Clatsop ,37382,46408,OR,Oregon
Columbia ,49389,53179,OR,Oregon
Coos ,62775,38605,OR,Oregon
Crook ,20956,37106,OR,Oregon
Curry ,22338,40884,OR,Oregon
Deschutes ,166622,51223,OR,Oregon
Douglas ,107194,41312,OR,Oregon
Gilliam ,1883,44293,OR,Oregon
Grant ,7276,38046,OR,Oregon
Harney ,7229,37580,OR,Oregon
Hood River ,22749,55827,OR,Oregon
Jackson ,208363,44028,OR,Oregon
Jefferson ,22061,46366,OR,Oregon
Josephine ,83409,37665,OR,Oregon
Klamath ,65972,40336,OR,Oregon
Lake ,7842,32369,OR,Oregon
Lane ,357060,44103,OR,Oregon
Lincoln ,46347,42101,OR,Oregon
Linn ,118971,45644,OR,Oregon
Malheur ,30551,35418,OR,Oregon
Marion ,323259,48432,OR,Oregon
Morrow ,11204,50918,OR,Oregon
Multnomah ,768418,54102,OR,Oregon
Polk ,77264,52821,OR,Oregon
Sherman ,1795,38362,OR,Oregon
Tillamook ,25430,42581,OR,Oregon
Umatilla ,76738,48101,OR,Oregon
Union ,25745,43822,OR,Oregon
Wallowa ,6857,40581,OR,Oregon
Wasco ,25492,43422,OR,Oregon
Washington ,556210,66754,OR,Oregon
Wheeler ,1348,33487,OR,Oregon
Yamhill ,101119,53423,OR,Oregon
Adams ,101767,60356,PA,Pennsylvania
Allegheny ,1231145,53040,PA,Pennsylvania
Armstrong ,67979,44942,PA,Pennsylvania
Beaver ,169785,50581,PA,Pennsylvania
Bedford ,49086,45930,PA,Pennsylvania
Berks ,413965,55936,PA,Pennsylvania
Blair ,126448,43981,PA,Pennsylvania
Bradford ,62228,48987,PA,Pennsylvania
Bucks ,626583,77568,PA,Pennsylvania
Butler ,185689,60934,PA,Pennsylvania
Cambria ,139381,42107,PA,Pennsylvania
Cameron ,4869,39897,PA,Pennsylvania
Carbon ,64634,49973,PA,Pennsylvania
Centre ,157823,52186,PA,Pennsylvania
Chester ,509797,85976,PA,Pennsylvania
Clarion ,39454,42536,PA,Pennsylvania
Clearfield ,81343,42257,PA,Pennsylvania
Clinton ,39614,45078,PA,Pennsylvania
Columbia ,66912,45374,PA,Pennsylvania
Crawford ,87343,44579,PA,Pennsylvania
Cumberland ,241427,61820,PA,Pennsylvania
Dauphin ,271094,53754,PA,Pennsylvania
Delaware ,561683,65123,PA,Pennsylvania
Elk ,31370,46671,PA,Pennsylvania
Erie ,279858,45971,PA,Pennsylvania
Fayette ,134851,39636,PA,Pennsylvania
Forest ,7581,35533,PA,Pennsylvania
Franklin ,152285,53916,PA,Pennsylvania
Fulton ,14694,48311,PA,Pennsylvania
Greene ,37938,46661,PA,Pennsylvania
Huntingdon ,45906,44396,PA,Pennsylvania
Indiana ,87895,45195,PA,Pennsylvania
Jefferson ,44756,42903,PA,Pennsylvania
Juniata ,24829,47398,PA,Pennsylvania
Lackawanna ,213459,46271,PA,Pennsylvania
Lancaster ,530216,57721,PA,Pennsylvania
Lawrence ,89162,44571,PA,Pennsylvania
Lebanon ,135776,55499,PA,Pennsylvania
Lehigh ,356756,56117,PA,Pennsylvania
Luzerne ,320095,45897,PA,Pennsylvania
Lycoming ,116656,47313,PA,Pennsylvania
McKean ,42884,43965,PA,Pennsylvania
Mercer ,115320,44156,PA,Pennsylvania
Mifflin ,46675,41288,PA,Pennsylvania
Monroe ,167881,57365,PA,Pennsylvania
Montgomery ,812970,80675,PA,Pennsylvania
Montour ,18508,54648,PA,Pennsylvania
Northampton ,299616,60972,PA,Pennsylvania
Northumberland ,94006,42406,PA,Pennsylvania
Perry ,45677,57177,PA,Pennsylvania
Philadelphia ,1555072,38253,PA,Pennsylvania
Pike ,56632,60180,PA,Pennsylvania
Potter ,17377,40654,PA,Pennsylvania
Schuylkill ,146360,45535,PA,Pennsylvania
Snyder ,40046,49917,PA,Pennsylvania
Somerset ,76617,44587,PA,Pennsylvania
Sullivan ,6381,44189,PA,Pennsylvania
Susquehanna ,42369,50477,PA,Pennsylvania
Tioga ,42284,46494,PA,Pennsylvania
Union ,44958,49803,PA,Pennsylvania
Venango ,53906,43644,PA,Pennsylvania
Warren ,40962,44020,PA,Pennsylvania
Washington ,208226,56450,PA,Pennsylvania
Wayne ,51642,49919,PA,Pennsylvania
Westmoreland ,361251,52247,PA,Pennsylvania
Wyoming ,28147,51004,PA,Pennsylvania
York ,439660,58269,PA,Pennsylvania
Bristol ,49176,72458,RI,Rhode Island
Kent ,164958,64383,RI,Rhode Island
Newport ,82663,69526,RI,Rhode Island
Providence ,630459,49743,RI,Rhode Island
Washington ,126405,72807,RI,Rhode Island
Abbeville ,24997,34799,SC,South Carolina
Aiken ,163908,45759,SC,South Carolina
Allendale ,9838,25327,SC,South Carolina
Anderson ,191215,42143,SC,South Carolina
Bamberg ,15432,31314,SC,South Carolina
Barnwell ,22098,34336,SC,South Carolina
Beaufort ,171420,57048,SC,South Carolina
Berkeley ,193613,52506,SC,South Carolina
Calhoun ,14958,43531,SC,South Carolina
Charleston ,372904,53437,SC,South Carolina
Cherokee ,55863,35389,SC,South Carolina
Chester ,32556,31914,SC,South Carolina
Chesterfield ,46192,32083,SC,South Carolina
Clarendon ,34178,33162,SC,South Carolina
Colleton ,38004,32804,SC,South Carolina
Darlington ,67922,35409,SC,South Carolina
Dillon ,31435,28938,SC,South Carolina
Dorchester ,145715,54901,SC,South Carolina
Edgefield ,26466,46637,SC,South Carolina
Fairfield ,23108,36004,SC,South Carolina
Florence ,138330,42080,SC,South Carolina
Georgetown ,60572,42835,SC,South Carolina
Greenville ,474903,50540,SC,South Carolina
Greenwood ,69771,37060,SC,South Carolina
Hampton ,20473,31410,SC,South Carolina
Horry ,290730,43299,SC,South Carolina
Jasper ,26549,37141,SC,South Carolina
Kershaw ,62722,43622,SC,South Carolina
Lancaster ,81263,44016,SC,South Carolina
Laurens ,66389,38515,SC,South Carolina
Lee ,18461,30954,SC,South Carolina
Lexington ,273843,53857,SC,South Carolina
McCormick ,9895,38712,SC,South Carolina
Marion ,32167,29874,SC,South Carolina
Marlboro ,27993,30767,SC,South Carolina
Newberry ,37690,40127,SC,South Carolina
Oconee ,74949,41237,SC,South Carolina
Orangeburg ,90575,34218,SC,South Carolina
Pickens ,120124,41459,SC,South Carolina
Richland ,397899,49131,SC,South Carolina
Saluda ,20000,38827,SC,South Carolina
Spartanburg ,291240,43907,SC,South Carolina
Sumter ,107777,41332,SC,South Carolina
Union ,28125,34033,SC,South Carolina
Williamsburg ,33238,28297,SC,South Carolina
York ,240076,54117,SC,South Carolina
Aurora ,2729,48750,SD,South Dakota
Beadle ,18168,46267,SD,South Dakota
Bennett ,3438,42171,SD,South Dakota
Bon Homme ,7013,45254,SD,South Dakota
Brookings ,33046,50082,SD,South Dakota
Brown ,38060,53100,SD,South Dakota
Brule ,5330,49531,SD,South Dakota
Buffalo ,2038,31163,SD,South Dakota
Butte ,10292,41920,SD,South Dakota
Campbell ,1548,45170,SD,South Dakota
Charles Mix ,9239,43109,SD,South Dakota
Clark ,3625,49600,SD,South Dakota
Clay ,14011,36608,SD,South Dakota
Codington ,27750,48912,SD,South Dakota
Corson ,4149,31676,SD,South Dakota
Custer ,8394,52218,SD,South Dakota
Davison ,19787,49991,SD,South Dakota
Day ,5618,39216,SD,South Dakota
Deuel ,4341,53152,SD,South Dakota
Dewey ,5579,37206,SD,South Dakota
Douglas ,2973,52500,SD,South Dakota
Edmunds ,4018,56000,SD,South Dakota
Fall River ,6906,45997,SD,South Dakota
Faulk ,2359,43679,SD,South Dakota
Grant ,7227,51272,SD,South Dakota
Gregory ,4226,37540,SD,South Dakota
Haakon ,2083,41518,SD,South Dakota
Hamlin ,5982,58602,SD,South Dakota
Hand ,3375,47163,SD,South Dakota
Hanson ,3386,60741,SD,South Dakota
Harding ,1328,52396,SD,South Dakota
Hughes ,17466,59177,SD,South Dakota
Hutchinson ,7226,45075,SD,South Dakota
Hyde ,1413,51776,SD,South Dakota
Jackson ,3237,45074,SD,South Dakota
Jerauld ,2031,53125,SD,South Dakota
Jones ,781,35972,SD,South Dakota
Kingsbury ,5107,53828,SD,South Dakota
Lake ,12086,54535,SD,South Dakota
Lawrence ,24645,45548,SD,South Dakota
Lincoln ,49874,76094,SD,South Dakota
Lyman ,3837,43030,SD,South Dakota
McCook ,5613,56954,SD,South Dakota
McPherson ,2263,36375,SD,South Dakota
Marshall ,4701,51788,SD,South Dakota
Meade ,26381,52473,SD,South Dakota
Mellette ,2086,30938,SD,South Dakota
Miner ,2306,44938,SD,South Dakota
Minnehaha ,178942,53525,SD,South Dakota
Moody ,6439,52446,SD,South Dakota
Oglala Lakota ,14153,26369,SD,South Dakota
Pennington ,106085,50890,SD,South Dakota
Perkins ,2981,39773,SD,South Dakota
Potter ,2307,46081,SD,South Dakota
Roberts ,10318,48614,SD,South Dakota
Sanborn ,2339,50541,SD,South Dakota
Spink ,6570,48217,SD,South Dakota
Stanley ,2962,56829,SD,South Dakota
Sully ,1469,60417,SD,South Dakota
Todd ,9942,31128,SD,South Dakota
Tripp ,5504,37153,SD,South Dakota
Turner ,8302,53378,SD,South Dakota
Union ,14842,64471,SD,South Dakota
Walworth ,5495,43221,SD,South Dakota
Yankton ,22636,48176,SD,South Dakota
Ziebach ,2833,35119,SD,South Dakota
Anderson ,75430,42880,TN,Tennessee
Bedford ,45986,41984,TN,Tennessee
Benton ,16261,33240,TN,Tennessee
Bledsoe ,13686,37013,TN,Tennessee
Blount ,125188,48286,TN,Tennessee
Bradley ,102062,42114,TN,Tennessee
Campbell ,40176,32028,TN,Tennessee
Cannon ,13787,41533,TN,Tennessee
Carroll ,28353,35508,TN,Tennessee
Carter ,56941,33213,TN,Tennessee
Cheatham ,39422,51857,TN,Tennessee
Chester ,17324,40167,TN,Tennessee
Claiborne ,31748,34899,TN,Tennessee
Clay ,7780,28804,TN,Tennessee
Cocke ,35321,31187,TN,Tennessee
Coffee ,53448,41590,TN,Tennessee
Crockett ,14600,35464,TN,Tennessee
Cumberland ,57455,38576,TN,Tennessee
Davidson ,658506,48368,TN,Tennessee
Decatur ,11686,37263,TN,Tennessee
DeKalb ,19038,38319,TN,Tennessee
Dickson ,50472,44680,TN,Tennessee
Dyer ,38054,42468,TN,Tennessee
Fayette ,38814,54890,TN,Tennessee
Fentress ,17931,30259,TN,Tennessee
Franklin ,41138,42773,TN,Tennessee
Gibson ,49572,38457,TN,Tennessee
Giles ,28949,41093,TN,Tennessee
Grainger ,22736,35391,TN,Tennessee
Greene ,68576,35196,TN,Tennessee
Grundy ,13524,27373,TN,Tennessee
Hamblen ,62999,37617,TN,Tennessee
Hamilton ,348121,48248,TN,Tennessee
Hancock ,6642,26898,TN,Tennessee
Hardeman ,26253,31801,TN,Tennessee
Hardin ,25900,35290,TN,Tennessee
Hawkins ,56595,36927,TN,Tennessee
Haywood ,18248,34182,TN,Tennessee
Henderson ,28013,38745,TN,Tennessee
Henry ,32269,38234,TN,Tennessee
Hickman ,24283,36334,TN,Tennessee
Houston ,8290,39401,TN,Tennessee
Humphreys ,18240,41949,TN,Tennessee
Jackson ,11496,31534,TN,Tennessee
Jefferson ,52490,42417,TN,Tennessee
Johnson ,18017,30763,TN,Tennessee
Knox ,444348,48701,TN,Tennessee
Lake ,7687,30086,TN,Tennessee
Lauderdale ,27427,30281,TN,Tennessee
Lawrence ,42226,37814,TN,Tennessee
Lewis ,11944,36621,TN,Tennessee
Lincoln ,33550,40389,TN,Tennessee
Loudon ,50229,51107,TN,Tennessee
McMinn ,52506,38535,TN,Tennessee
McNairy ,26103,32557,TN,Tennessee
Macon ,22761,33509,TN,Tennessee
Madison ,98184,42544,TN,Tennessee
Marion ,28306,41348,TN,Tennessee
Marshall ,31159,42661,TN,Tennessee
Maury ,84089,47692,TN,Tennessee
Meigs ,11716,34424,TN,Tennessee
Monroe ,45293,35291,TN,Tennessee
Montgomery ,185980,50344,TN,Tennessee
Moore ,6351,49427,TN,Tennessee
Morgan ,21794,39049,TN,Tennessee
Obion ,31129,40281,TN,Tennessee
Overton ,22100,35287,TN,Tennessee
Perry ,7864,31425,TN,Tennessee
Pickett ,5097,36773,TN,Tennessee
Polk ,16687,38925,TN,Tennessee
Putnam ,73810,35343,TN,Tennessee
Rhea ,32394,36146,TN,Tennessee
Roane ,53162,40854,TN,Tennessee
Robertson ,67426,53151,TN,Tennessee
Rutherford ,282558,56219,TN,Tennessee
Scott ,22043,30246,TN,Tennessee
Sequatchie ,14592,45408,TN,Tennessee
Sevier ,93617,42258,TN,Tennessee
Shelby ,937750,46224,TN,Tennessee
Smith ,19136,43914,TN,Tennessee
Stewart ,13286,42023,TN,Tennessee
Sullivan ,156752,40346,TN,Tennessee
Sumner ,169623,57382,TN,Tennessee
Tipton ,61674,53669,TN,Tennessee
Trousdale ,7884,41029,TN,Tennessee
Unicoi ,18069,33210,TN,Tennessee
Union ,19096,37351,TN,Tennessee
Van Buren ,5596,40439,TN,Tennessee
Warren ,40015,35376,TN,Tennessee
Washington ,125317,42817,TN,Tennessee
Wayne ,16897,30701,TN,Tennessee
Weakley ,34415,37037,TN,Tennessee
White ,26252,34901,TN,Tennessee
Williamson ,199456,96565,TN,Tennessee
Wilson ,122445,61070,TN,Tennessee
Anderson ,57915,41327,TX,Texas
Andrews ,16775,70423,TX,Texas
Angelina ,87748,44223,TX,Texas
Aransas ,24292,41690,TX,Texas
Archer ,8779,60275,TX,Texas
Armstrong ,1943,59737,TX,Texas
Atascosa ,47050,52192,TX,Texas
Austin ,28886,53687,TX,Texas
Bailey ,7126,37397,TX,Texas
Bandera ,20796,49863,TX,Texas
Bastrop ,76948,54821,TX,Texas
Baylor ,3628,36373,TX,Texas
Bee ,32659,42302,TX,Texas
Bell ,326041,50550,TX,Texas
Bexar ,1825502,51150,TX,Texas
Blanco ,10723,55504,TX,Texas
Borden ,705,73750,TX,Texas
Bosque ,17971,44674,TX,Texas
Bowie ,93155,42670,TX,Texas
Brazoria ,331741,69749,TX,Texas
Brazos ,205271,39808,TX,Texas
Brewster ,9235,38395,TX,Texas
Briscoe ,1670,38603,TX,Texas
Brooks ,7221,22741,TX,Texas
Brown ,37833,41962,TX,Texas
Burleson ,17293,51821,TX,Texas
Burnet ,44144,49732,TX,Texas
Caldwell ,39347,47233,TX,Texas
Calhoun ,21666,51078,TX,Texas
Callahan ,13532,40981,TX,Texas
Cameron ,417947,33266,TX,Texas
Camp ,12516,37851,TX,Texas
Carson ,6068,66023,TX,Texas
Cass ,30328,37352,TX,Texas
Castro ,7948,39459,TX,Texas
Chambers ,37251,70544,TX,Texas
Cherokee ,51167,39595,TX,Texas
Childress ,7059,36633,TX,Texas
Clay ,10479,48297,TX,Texas
Cochran ,2993,39113,TX,Texas
Coke ,3238,42467,TX,Texas
Coleman ,8536,35156,TX,Texas
Collin ,862215,84735,TX,Texas
Collingsworth ,3058,39743,TX,Texas
Colorado ,20757,46618,TX,Texas
Comal ,119632,65833,TX,Texas
Comanche ,13623,37470,TX,Texas
Concho ,4086,48368,TX,Texas
Cooke ,38761,52406,TX,Texas
Coryell ,76128,49340,TX,Texas
Cottle ,1510,34955,TX,Texas
Crane ,4730,58333,TX,Texas
Crockett ,3699,53678,TX,Texas
Crosby ,6007,37434,TX,Texas
Culberson ,2296,35000,TX,Texas
Dallam ,7014,41345,TX,Texas
Dallas ,2485003,50270,TX,Texas
Dawson ,13542,41095,TX,Texas
Deaf Smith ,19245,43373,TX,Texas
Delta ,5223,42432,TX,Texas
Denton ,731851,75050,TX,Texas
DeWitt ,20540,49736,TX,Texas
Dickens ,2281,39700,TX,Texas
Dimmit ,10682,36825,TX,Texas
Donley ,3588,36681,TX,Texas
Duval ,11577,33939,TX,Texas
Eastland ,18328,34888,TX,Texas
Ector ,149557,57150,TX,Texas
Edwards ,1906,41813,TX,Texas
Ellis ,157058,62465,TX,Texas
El Paso ,831095,41637,TX,Texas
Erath ,40039,41416,TX,Texas
Falls ,17410,36079,TX,Texas
Fannin ,33748,44071,TX,Texas
Fayette ,24849,47808,TX,Texas
Fisher ,3858,41406,TX,Texas
Floyd ,6178,41026,TX,Texas
Foard ,1197,36477,TX,Texas
Fort Bend ,658331,89152,TX,Texas
Franklin ,10599,41537,TX,Texas
Freestone ,19586,44301,TX,Texas
Frio ,18168,36404,TX,Texas
Gaines ,18916,57635,TX,Texas
Galveston ,308163,62313,TX,Texas
Garza ,6410,48508,TX,Texas
Gillespie ,25398,54859,TX,Texas
Glasscock ,1180,67303,TX,Texas
Goliad ,7410,51226,TX,Texas
Gonzales ,20172,42983,TX,Texas
Gray ,22983,43288,TX,Texas
Grayson ,122780,47952,TX,Texas
Gregg ,123178,47639,TX,Texas
Grimes ,26961,46195,TX,Texas
Guadalupe ,143460,62420,TX,Texas
Hale ,35504,43375,TX,Texas
Hall ,3203,30950,TX,Texas
Hamilton ,8266,42432,TX,Texas
Hansford ,5559,44219,TX,Texas
Hardeman ,3992,37174,TX,Texas
Hardin ,55375,52614,TX,Texas
Harris ,4356362,54457,TX,Texas
Harrison ,66417,45974,TX,Texas
Hartley ,6121,63004,TX,Texas
Haskell ,5853,39850,TX,Texas
Hays ,177562,58583,TX,Texas
Hemphill ,4115,62813,TX,Texas
Henderson ,79016,41607,TX,Texas
Hidalgo ,819217,34782,TX,Texas
Hill ,34923,41382,TX,Texas
Hockley ,23322,50665,TX,Texas
Hood ,53171,56100,TX,Texas
Hopkins ,35645,44396,TX,Texas
Houston ,22949,32698,TX,Texas
Howard ,36105,49575,TX,Texas
Hudspeth ,3330,26384,TX,Texas
Hunt ,88052,45197,TX,Texas
Hutchinson ,21858,49353,TX,Texas
Irion ,1644,58500,TX,Texas
Jack ,8946,50324,TX,Texas
Jackson ,14486,54926,TX,Texas
Jasper ,35768,40820,TX,Texas
Jeff Davis ,2232,50165,TX,Texas
Jefferson ,252872,43540,TX,Texas
Jim Hogg ,5239,35521,TX,Texas
Jim Wells ,41461,42986,TX,Texas
Johnson ,155450,58135,TX,Texas
Jones ,19978,43897,TX,Texas
Karnes ,14879,45502,TX,Texas
Kaufman ,109289,60391,TX,Texas
Kendall ,37361,73240,TX,Texas
Kenedy ,565,36438,TX,Texas
Kent ,821,47024,TX,Texas
Kerr ,50149,43810,TX,Texas
Kimble ,4486,40125,TX,Texas
King ,267,63250,TX,Texas
Kinney ,3577,38281,TX,Texas
Kleberg ,32029,38247,TX,Texas
Knox ,3796,40493,TX,Texas
Lamar ,49566,40748,TX,Texas
Lamb ,13742,39851,TX,Texas
Lampasas ,20219,49630,TX,Texas
La Salle ,7191,37292,TX,Texas
Lavaca ,19549,48677,TX,Texas
Lee ,16664,53902,TX,Texas
Leon ,16819,49802,TX,Texas
Liberty ,77486,48729,TX,Texas
Limestone ,23454,37554,TX,Texas
Lipscomb ,3483,63125,TX,Texas
Live Oak ,11873,50400,TX,Texas
